time,H_at_2delta,H_at_3delta,H_at_skin_depth,H_surface,avg_H
4.82,-0.0048415640366838,0.041986075080417,-0.31126395432817,-0.90482706720041,-0.03396067855731
4.84,-0.02074489414596,0.038060518639471,-0.3310987700492,-0.84432794412162,-0.035203856648309
4.86,-0.036250761221186,0.033631609840791,-0.34567533392136,-0.77051326501735,-0.035828365925292
4.88,-0.051115043150481,0.028768656352532,-0.35476398838696,-0.68454713146918,-0.035824504092802
4.9,-0.065103731946674,0.023547815937836,-0.35822162123295,-0.58778528075375,-0.035192477977413
4.92,-0.077996624248333,0.018050895338313,-0.35599392258795,-0.48175370505608,-0.033942400273893
4.94,-0.089590794112622,0.012364060070795,-0.3481162414528,-0.36812458566131,-0.032094130069782
4.96,-0.099703793332,0.0065764754845955,-0.33471302825657,-0.24868992165693,-0.029676959663398
4.98,-0.10817652880389,0.00077890051060531,-0.31599587222922,-0.12533326903682,-0.026729152614349
5,-0.11487577157549,-0.0049377437203798,-0.29226016454279,-3.5898048426146e-08,-0.023297340311763
