time,max_A,total_A
4.31,0.57362103904836,0.55108239948692
4.325,0.57299848713112,0.55092827014962
4.34,0.57243539532602,0.55077451974781
4.355,0.57183810920842,0.55062114657349
4.37,0.57120695316019,0.55046814893003
4.385,0.57054225400928,0.55031552513206
4.4,0.56984434090463,0.55016327350539
4.415,0.56911354519402,0.55001139238693
4.43,0.56854695627675,0.54985988012455
4.445,0.56794838817352,0.54970873507699
4.46,0.56731665408842,0.54955795561379
4.475,0.56665207141197,0.54940754011519
4.49,0.56595495978509,0.54925748697201
4.505,0.5652256409832,0.54910779458559
4.52,0.56454806107585,0.54895846136767
4.535,0.56402087224469,0.54880948574032
4.55,0.56346076610643,0.54866086613584
4.565,0.56286804271848,0.54851260099669
4.58,0.56224300454708,0.54836468877536
4.595,0.56158595635348,0.54821712793434
4.61,0.56089720508263,0.54806991694597
4.625,0.56029945103687,0.54792305429243
4.64,0.55973752798862,0.54777653846559
4.655,0.55914364542868,0.54763036796695
4.67,0.55851809743601,0.54748454130758
4.685,0.55786118031455,0.54733905700801
4.7,0.55717319248751,0.54719391359816
4.715,0.55645443439392,0.54704910961726
4.73,0.55595152056511,0.54690464361376
4.745,0.5554258705976,0.54676051414528
4.76,0.5548687779094,0.54661671977852
4.775,0.55428052303113,0.54647325908916
4.7825,0.55397864012664,0.54640161088266
4.79,0.55366903708714,0.54633004464231
4.7975,0.55335174938031,0.54625856019663
4.805,0.55302681260805,0.54618715737466
4.8125,0.55269426250335,0.54611583600596
4.82,0.55240886794419,0.54604459592062
4.8275,0.55215254424965,0.54597343694926
4.835,0.55188844531806,0.54590235892302
4.8425,0.5516166048403,0.54583136167355
4.85,0.55133705665587,0.54576044503303
4.8575,0.55104983474977,0.54568960883413
4.865,0.55075497324934,0.54561885291006
4.8725,0.55045250642122,0.54554817709453
4.88,0.55014246866824,0.54547758122175
4.8875,0.54982489452642,0.54540706512644
4.895,0.54949981866196,0.54533662864385
4.9025,0.5491672758683,0.54526627160968
4.91,0.54882730106317,0.54519599386018
4.9175,0.54851210671248,0.54512579523206
4.925,0.54828025848566,0.54505567556256
4.9325,0.54804072672982,0.54498563468939
4.94,0.54779354345606,0.54491567245076
4.9475,0.54753874082817,0.54484578868536
4.955,0.54727635115955,0.54477598323239
4.9625,0.54700640691022,0.54470625593152
4.97,0.54672894068377,0.5446366066229
4.9775,0.54644398522443,0.54456703514718
4.985,0.54615157341408,0.54449754134547
4.9925,0.5458517382694,0.54442812505937
5,0.54554451293894,0.54435878613095
5.0075,0.54522993070029,0.54428952440276
5.015,0.54490802495726,0.54422033971783
5.0225,0.54466161063214,0.54415123191964
5.03,0.54441291012174,0.54408220085215
5.0375,0.54415673447094,0.54401324635979
5.045,0.54389311518043,0.54394436828745
