time,Amp_x02,Amp_x04,Amp_x06,E_energy,E_peak,Ey_slab,Ey_source,Ey_x01,Ey_x02,Ey_x03,Ey_x05,Ey_x06,Ey_x07
5.525e-10,3.416420890376e-35,2.3963212536501e-51,2.6383081481916e-15,-2.8179189480411e-06,0.0028236697419013,-2.379399368399e-51,-0.0018018256704107,-3.5806172742583e-21,-2.4157743789722e-35,-2.3760176546424e-49,-5.8071319000244e-37,2.5908479420859e-15,-1.2577994032439e-06
5.55e-10,8.778442031105e-35,7.6004948183545e-51,3.6104804704259e-15,-2.9028541495256e-06,0.002939638521461,-7.5407817208105e-51,-0.0017676615728401,2.8807362368534e-22,6.2072958884474e-35,1.4003548032477e-49,2.4301457870718e-36,3.5327345830179e-15,-1.2044403663618e-06
5.575e-10,2.1165794170778e-34,1.9510596939885e-50,4.5554751759386e-15,-2.9832151975071e-06,0.0030599788252937,-1.9338406552709e-50,-0.0017233767490805,1.1590051851957e-20,1.4966476587356e-34,1.2923793810826e-48,1.6004722339157e-35,4.4336023390388e-15,-1.1369865822782e-06
5.6e-10,1.4584221101293e-34,3.8619006606909e-50,5.1213568014768e-15,-3.0582709832817e-06,0.0031847823820287,-3.8212006042615e-50,-0.0016682557991545,1.9828218972089e-20,-1.0312601639048e-34,-5.4206331867656e-49,6.1354581870374e-35,4.9354935276185e-15,-1.0541408321478e-06
5.625e-10,9.8325466189675e-34,4.5600367918172e-50,4.677118780345e-15,-3.1272968855097e-06,0.0033142440331945,-4.4832410810088e-50,-0.0016017393403996,6.4291555441402e-22,-6.9526603906048e-34,-6.5267117016087e-48,1.8716002279352e-34,4.3866472278795e-15,-9.5456528378202e-07
5.65e-10,6.9575223378724e-34,4.5620235613483e-50,2.3809833654308e-15,-3.1894951251829e-06,0.003448473723384,4.5600806252522e-50,-0.0015231151445882,-5.8521890311886e-20,-4.9197112253664e-34,-1.102468398605e-48,4.8397569952621e-34,1.7161397641441e-15,-8.3687912245313e-07
5.675e-10,2.6552154628065e-33,4.7132481992459e-49,4.8397717005355e-15,-3.2440647236566e-06,0.0035876555545776,4.6915665787877e-49,-0.0014318002879307,-1.1110916847366e-19,1.8775208592619e-33,2.8538912565043e-47,1.0694343296515e-33,-4.6955372836736e-15,-6.9965253974894e-07
5.7e-10,6.3924214713256e-33,1.7091092503432e-48,1.7114040995094e-14,-3.2901466564308e-06,0.0037319257065467,1.6976030843031e-48,-0.0013271138015611,-4.0703733727521e-20,4.5201245705768e-33,2.9371910070259e-47,1.9574669944444e-33,-1.7112268586949e-14,-5.4139940464821e-07
5.725e-10,4.5195413214621e-34,4.3458127209732e-48,3.8573676747275e-14,-3.3268711281063e-06,0.0038814614900856,4.3095357392609e-48,-0.0012084606505384,2.3572467153233e-19,3.1957983162588e-34,-9.1468920266055e-47,2.624364134061e-33,-3.8437444138148e-14,-3.6057142444903e-07
5.75e-10,2.146732944696e-32,8.1681622987786e-48,7.2521451869215e-14,-3.3533279417811e-06,0.0040364258929288,8.0819967534391e-48,-0.0010752139332672,5.6354045687422e-19,-1.5179694225911e-32,-2.2035581798991e-46,9.757346772149e-34,-7.2003219887455e-14,-1.5555629896394e-07
