time,avg_stress_xx,disp_x_left,disp_x_mid,disp_x_right
0.00374,760110.5379113,-3.9713528267965e-05,2.1401908709388e-06,6.8873691441719e-05
0.00376,698185.55584769,-3.6811171127296e-05,1.7678981748373e-06,6.2929622568825e-05
0.00378,636960.49615995,-3.3872485635103e-05,1.4071713487924e-06,5.7121870947536e-05
0.0038,573227.30365288,-3.0900371932737e-05,1.3799071432267e-06,5.0989242863109e-05
0.00382,508544.12843668,-2.789776315131e-05,1.416346981986e-06,4.4751398067802e-05
0.00384,445401.96787873,-2.486762251704e-05,1.2015764376593e-06,3.8761230062921e-05
0.00386,381108.67729391,-2.1812940426882e-05,8.5053187196752e-07,3.2631156317735e-05
0.00388,314821.51880975,-1.8736731497362e-05,6.006829488418e-07,2.6237771142013e-05
0.0039,249803.1753517,-1.5642031589494e-05,5.6035890225991e-07,2.0044136314097e-05
0.00392,185252.2967606,-1.2531894812743e-05,5.5013183391723e-07,1.3932719073676e-05
0.00394,118572.38881908,-9.4093905109687e-06,2.6723042714992e-07,7.5295221976677e-06
0.00396,52172.687873829,-6.2776002333444e-06,-1.1721369937882e-07,1.1756408117291e-06
0.00398,-12596.851454007,-3.1396146932217e-06,-2.1701687236867e-07,-4.9391649430312e-06
0.004,-78710.871213133,1.4692820426213e-09,-1.9862544462726e-07,-1.1242940798571e-05
0.00402,-145607.90171445,3.1425518072962e-06,-4.0877461061408e-07,-1.7658576942316e-05
0.00404,-210525.7569866,6.2805329988176e-06,-7.4416354232527e-07,-2.3794575244677e-05
0.00406,-275478.06223236,9.4123160335416e-06,-9.5056981077479e-07,-2.9941692948004e-05
0.00408,-341814.343218,1.2534810205264e-05,-9.9445306656132e-07,-3.6295810142904e-05
0.0041,-406578.15166653,1.564493397481e-05,-1.0732185462491e-06,-4.2437659006764e-05
0.00412,-470066.43400047,1.8739618011155e-05,-1.373667217176e-06,-4.8412729826366e-05
0.00414,-534838.4156451,2.1815808220499e-05,-1.6788291316427e-06,-5.4589679862755e-05
0.00416,-598861.4707511,2.4870468760301e-05,-1.7111251770764e-06,-6.0681169777297e-05
0.00418,-660715.78734404,2.7900585035304e-05,-1.7438410898355e-06,-6.6487384431455e-05
0.0042,-723124.4810118,3.0903166672591e-05,-2.0461955032187e-06,-7.2400330783308e-05
0.00422,-785606.33106021,3.3875250472735e-05,-2.3253950785271e-06,-7.8354225569585e-05
0.00424,-845627.64447208,3.6813903334131e-05,-2.3778111246202e-06,-8.3990045669586e-05
0.00426,-905121.75484362,3.9716225147632e-05,-2.4372660665426e-06,-8.9586882480818e-05
0.00428,-965179.38045527,4.2579351658615e-05,-2.6641269841083e-06,-9.5303417231951e-05
0.0043,-1023036.3088131,4.5400457293669e-05,-2.9283755421721e-06,-0.00010074758706867
0.00432,-1079268.74149,4.8176757949109e-05,-3.0386252029642e-06,-0.00010600449052688
0.00434,-1136066.9285115,5.0905513738561e-05,-3.0518102636844e-06,-0.00011138976146537
0.00436,-1191268.1812992,5.3584031696914e-05,-3.2411020544408e-06,-0.00011659713742528
0.00438,-1244008.1953587,5.6209668437964e-05,-3.5377970224892e-06,-0.00012150578840232
0.0044,-1296849.6691699,5.8779832763127e-05,-3.6076061645949e-06,-0.00012648440526946
0.00442,-1348778.8725885,6.129198821865e-05,-3.5970883022998e-06,-0.00013139070743377
0.00444,-1397821.3063734,6.3743655598803e-05,-3.8237001175207e-06,-0.00013594510292449
