time,avg_stress_xx,disp_x_left,disp_x_right
0.00364,202503.41518549,1.0128091257507e-05,2.0253262016725e-05
0.00366,202483.30168398,1.0126725640076e-05,2.025089072467e-05
0.00368,202594.56843772,1.0127402908921e-05,2.0257131330958e-05
0.0037,202592.10112263,1.0128104628178e-05,2.0257709683807e-05
0.00372,202502.3296757,1.0126791549256e-05,2.0251908032681e-05
0.00374,202507.4659028,1.0127589370971e-05,2.0252962666428e-05
0.00376,202588.62797163,1.012843039078e-05,2.0257861789604e-05
0.00378,202560.1215214,1.0127507442061e-05,2.0255513517732e-05
0.0038,202455.49199973,1.0129086480867e-05,2.0251861080605e-05
0.00382,202474.12878187,1.0131330661831e-05,2.0255037101502e-05
0.00384,202482.70254502,1.0133137129175e-05,2.0257272256863e-05
0.00386,202282.01376961,1.0139683896756e-05,2.0253784584605e-05
0.00388,202047.26249669,1.0150582230086e-05,2.0252945354352e-05
0.0039,201780.50558371,1.0167235609425e-05,2.0256260889256e-05
0.00392,201152.88712158,1.0198252903632e-05,2.0255897260267e-05
0.00394,200103.08403357,1.0247981680616e-05,2.0253135881521e-05
0.00396,198603.12404703,1.0324232524398e-05,2.0254388726226e-05
0.00398,196265.00635935,1.0443106879687e-05,2.0256357198628e-05
0.004,192750.60899483,1.0617052835779e-05,2.0254583286047e-05
0.00402,187837.25069469,1.0861632646531e-05,2.0253495180135e-05
0.00404,181145.60705989,1.1198149771685e-05,2.0255430124259e-05
0.00406,172319.97317089,1.1639682953575e-05,2.0255681613446e-05
0.00408,161157.54724957,1.2196014970375e-05,2.0253892332958e-05
0.0041,147594.15945517,1.2874629540828e-05,2.0254337511783e-05
0.00412,131767.94102164,1.3667354101262e-05,2.0255751153184e-05
0.00414,113932.53726762,1.4558182983558e-05,2.0254809851102e-05
0.00416,94505.131074458,1.5528661599869e-05,2.0253918154158e-05
0.00418,74091.52180363,1.6550546130923e-05,2.0255122217302e-05
0.0042,53132.548543878,1.7598802984928e-05,2.0255430413407e-05
0.00422,31913.938847661,1.865851166236e-05,2.0254208611871e-05
0.00424,10784.525721892,1.9715231348283e-05,2.0254457633289e-05
0.00426,-10127.519810801,2.0761839662636e-05,2.0255463659987e-05
0.00428,-30853.785672612,2.1797464702575e-05,2.0254775415138e-05
0.0043,-51178.592234383,2.2813103148554e-05,2.0254173548e-05
0.00432,-70882.825798272,2.3799238997855e-05,2.0255097712174e-05
0.00434,-89900.9643679,2.4750243658838e-05,2.0255195428243e-05
0.00436,-108059.23735415,2.5657254983613e-05,2.0254293111557e-05
0.00438,-125274.99338308,2.6518422360588e-05,2.025467270697e-05
0.0044,-141641.2731353,2.7337365638364e-05,2.0255301988549e-05
0.00442,-157014.85722575,2.810535155029e-05,2.0254608671209e-05
0.00444,-170989.32279587,2.8803884226788e-05,2.0254418076893e-05
0.00446,-183035.71472106,2.9406948871949e-05,2.025516315407e-05
0.00448,-192526.57802996,2.9881230098316e-05,2.0254901207785e-05
0.0045,-199128.34699023,3.0210795193641e-05,2.0254377824677e-05
0.00452,-203078.24732071,3.0408849851031e-05,2.0254937474501e-05
0.00454,-205001.03012518,3.0505113475828e-05,2.025506199265e-05
0.00456,-205702.24822302,3.0539586155675e-05,2.0254473755997e-05
0.00458,-205806.8636311,3.0545091881395e-05,2.0254748672668e-05
0.0046,-205488.50023311,3.0529521655852e-05,2.0255096630077e-05
0.00462,-204754.18321078,3.0492313827076e-05,2.0254604696684e-05
